Tariff Item,Harmonized System (HS) Heading,Indicative Description,code    subgroup,,stage
0302.49.00,"Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 03.04.","Herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), Indian mackerels (Rastrelliger spp.), seerfishes (Scomberomorus spp.), jack and horse mackerel (Trachurus spp.), jacks, crevalles (Caranx spp.), cobia (Rachycentron canadum), silver pomfrets (Pampus spp.), Pacific saury (Cololabis saira), scads (Decapterus spp.), capelin (Mallotus villosus), swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp.), marlins, sailfishes, spearfish (Istiophoridae), excluding edible fish offal of subheadings 0302.91 to 0302.99: Other",030249,00,2
0302.51.00,"Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 03.04.","Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, excluding edible fish offal of subheadings 0302.91 to 0302.99: Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",030251,00,2
0302.52.00,"Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 03.04.","Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, excluding edible fish offal of subheadings 0302.91 to 0302.99: Haddock (Melanogrammus aeglefinus)",030252,00,2
0302.53.00,"Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 03.04.","Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, excluding edible fish offal of subheadings 0302.91 to 0302.99: Coalfish (Pollachius virens)",030253,00,2
0302.54.00,"Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 03.04.","Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, excluding edible fish offal of subheadings 0302.91 to 0302.99: Hake (Merluccius spp., Urophycis spp.)",030254,00,2
0302.55.00,"Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 03.04.","Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, excluding edible fish offal of subheadings 0302.91 to 0302.99: Alaska Pollock (Theragra chalcogramma): Alaska Pollock (Theragra chalcogramma)",030255,00,2
0302.56.00,"Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 03.04.","Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, excluding edible fish offal of subheadings 0302.91 to 0302.99: Blue whitings (Micromesistius poutassou, Micromesistius australis)",030256,00,2
0302.59.00,"Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 03.04.","Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, excluding edible fish offal of subheadings 0302.91 to 0302.99: Other",030259,00,2
0302.71.00,"Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 03.04.","Tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), eels (Anguilla spp.), Nile perch (Lates niloticus) and snakeheads (Channa spp.), excluding edible fish offal of subheadings 0302.91 to 0302.99: Tilapias (Oreochromis spp.)",030271,00,2
0302.72.00,"Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 03.04.","Tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), eels (Anguilla spp.), Nile perch (Lates niloticus) and snakeheads (Channa spp.), excluding edible fish offal of subheadings 0302.91 to 0302.99: Catfish (Pangasius spp., Silurus spp., Clarias spp., lctalurus spp.)",030272,00,2
0302.73.00,"Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 03.04.","Tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), eels (Anguilla spp.), Nile perch (Lates niloticus) and snakeheads (Channa spp.), excluding edible fish offal of subheadings 0302.91 to 0302.99: Carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)",030273,00,2
0302.74.00,"Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 03.04.","Tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), eels (Anguilla spp.), Nile perch (Lates niloticus) and snakeheads (Channa spp.), excluding edible fish offal of subheadings 0302.91 to 0302.99: Eels (Anguilla spp.)",030274,00,2
0302.79.00,"Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 03.04.","Tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), eels (Anguilla spp.), Nile perch (Lates niloticus) and snakeheads (Channa spp.), excluding edible fish offal of subheadings 0302.91 to 0302.99: Other",030279,00,2
0302.81.00,"Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 03.04.","Other fish, excluding edible fish offal of subheadings 0302.91 to 0302.99: Dogfish and other sharks",030281,00,2
0302.82.00,"Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 03.04.","Other fish, excluding edible fish offal of subheadings 0302.91 to 0302.99: Rays and skates (Rajidae)",030282,00,2
0302.83.00,"Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 03.04.","Other fish, excluding edible fish offal of subheadings 0302.91 to 0302.99: Toothfish (Dissostichus spp.)",030283,00,2
0302.84.00,"Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 03.04.","Other fish, excluding edible fish offal of subheadings 0302.91 to 0302.99: Seabass (Dicentrarchus spp.)",030284,00,2
0302.85.00,"Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 03.04.","Other fish, excluding edible fish offal of subheadings 0302.91 to 0302.99: Seabream (Sparidae)",030285,00,2
0302.89.00,"Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 03.04.","Other fish, excluding edible fish offal of subheadings 0302.91 to 0302.99: Other",030289,00,2
0302.91.00,"Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 03.04.","Livers, roes, milt, fish fins, heads, tails, maws and other edible fish offal: Livers, roes and milt",030291,00,2
0302.92.00,"Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 03.04.","Livers, roes, milt, fish fins, heads, tails, maws and other edible fish offal: Shark fins",030292,00,2
0302.99.00,"Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 03.04.","Livers, roes, milt, fish fins, heads, tails, maws and other edible fish offal: Other",030299,00,2
0303.11.00,"Fish, frozen, excluding fish fillets and other fish meat of heading 03.04.","Salmonidae, excluding edible fish offal of subheadings 0303.91 to 0303.99: Sockeye salmon (red salmon) (Oncorhynchus nerka)",030311,00,2
0303.12.00,"Fish, frozen, excluding fish fillets and other fish meat of heading 03.04.","Salmonidae, excluding edible fish offal of subheadings 0303.91 to 0303.99: Other Pacific salmon (Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus)",030312,00,2
0303.13.00,"Fish, frozen, excluding fish fillets and other fish meat of heading 03.04.","Salmonidae, excluding edible fish offal of subheadings 0303.91 to 0303.99: Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)",030313,00,2
0303.14.00,"Fish, frozen, excluding fish fillets and other fish meat of heading 03.04.","Salmonidae, excluding edible fish offal of subheadings 0303.91 to 0303.99: Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",030314,00,2
0303.19.00,"Fish, frozen, excluding fish fillets and other fish meat of heading 03.04.","Salmonidae, excluding edible fish offal of subheadings 0303.91 to 0303.99: Other",030319,00,2
0303.23.00,"Fish, frozen, excluding fish fillets and other fish meat of heading 03.04.","Tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), eels (Anguilla spp.), Nile perch (Lates niloticus) and snakeheads (Channa spp.), excluding edible fish offal of subheadings 0303.91 to 0303.99: Tilapias (Oreochromis spp.)",030323,00,2
0303.24.00,"Fish, frozen, excluding fish fillets and other fish meat of heading 03.04.","Tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), eels (Anguilla spp.), Nile perch (Lates niloticus) and snakeheads (Channa spp.), excluding edible fish offal of subheadings 0303.91 to 0303.99: Catfish (Pangasius spp., Silurus spp., Clarias spp., lctalurus spp.)",030324,00,2
0303.25.00,"Fish, frozen, excluding fish fillets and other fish meat of heading 03.04.","Tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), eels (Anguilla spp.), Nile perch (Lates niloticus) and snakeheads (Channa spp.), excluding edible fish offal of subheadings 0303.91 to 0303.99: Carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)",030325,00,2
0303.26.00,"Fish, frozen, excluding fish fillets and other fish meat of heading 03.04.","Tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), eels (Anguilla spp.), Nile perch (Lates niloticus) and snakeheads (Channa spp.), excluding edible fish offal of subheadings 0303.91 to 0303.99: Eels (Anguilla spp.)",030326,00,2
0303.29.00,"Fish, frozen, excluding fish fillets and other fish meat of heading 03.04.","Tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), eels (Anguilla spp.), Nile perch (Lates niloticus) and snakeheads (Channa spp.), excluding edible fish offal of subheadings 0303.91 to 0303.99: Other",030329,00,2
0303.31.00,"Fish, frozen, excluding fish fillets and other fish meat of heading 03.04.","Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae), excluding edible fish offal of subheadings 0303.91 to 0303.99: Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)",030331,00,2
0303.32.00,"Fish, frozen, excluding fish fillets and other fish meat of heading 03.04.","Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae), excluding edible fish offal of subheadings 0303.91 to 0303.99: Plaice (Pleuronectes platessa)",030332,00,2
0303.33.00,"Fish, frozen, excluding fish fillets and other fish meat of heading 03.04.","Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae), excluding edible fish offal of subheadings 0303.91 to 0303.99: Sole (Solea spp.)",030333,00,2
0303.34.00,"Fish, frozen, excluding fish fillets and other fish meat of heading 03.04.","Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae), excluding edible fish offal of subheadings 0303.91 to 0303.99: Turbots (Psetta maxima)",030334,00,2
0303.39.00,"Fish, frozen, excluding fish fillets and other fish meat of heading 03.04.","Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae), excluding edible fish offal of subheadings 0303.91 to 0303.99: Other",030339,00,2
0303.41.00,"Fish, frozen, excluding fish fillets and other fish meat of heading 03.04.","Tunas (of the genus Thunnus), skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis), excluding edible fish offal of subheadings 0303.91 to 0303.99: Albacore or longfinned tunas (Thunnus alalunga)",030341,00,2
0303.42.00,"Fish, frozen, excluding fish fillets and other fish meat of heading 03.04.","Tunas (of the genus Thunnus), skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis), excluding edible fish offal of subheadings 0303.91 to 0303.99: Yellowfin tunas (Thunnus albacares)",030342,00,2
0303.43.00,"Fish, frozen, excluding fish fillets and other fish meat of heading 03.04.","Tunas (of the genus Thunnus), skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis), excluding edible fish offal of subheadings 0303.91 to 0303.99: Skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis): Skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis)",030343,00,2
0303.44.00,"Fish, frozen, excluding fish fillets and other fish meat of heading 03.04.","Tunas (of the genus Thunnus), skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis), excluding edible fish offal of subheadings 0303.91 to 0303.99: Bigeye tunas (Thunnus obesus)",030344,00,2
0303.45.00,"Fish, frozen, excluding fish fillets and other fish meat of heading 03.04.","Tunas (of the genus Thunnus), skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis), excluding edible fish offal of subheadings 0303.91 to 0303.99: Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis)",030345,00,2
